"Pathway"	"Genes"
"136"	"Pathway.KEGG_Ubiquitin mediated proteolysis"	"UBA2, SAE1, ELOC, ELOB, RBX1, FBXW11, FBXO2, FBXO4, FBXW7, SKP2, BTRC, RHOBTB2, KLHL9, KLHL13, KEAP1, RHOBTB1, ERCC8, DDB2, DET1, COP1, SOCS1, SOCS3, VHL, HERC4, HERC3, UBE2W, UBE2F, UBA3, CDC26, ANAPC10, CDC23, CDC16, ANAPC7, ANAPC5, ANAPC4, CDC27, ANAPC1, FZR1, CDC20, ANAPC2, ANAPC11, FBXW8, CUL3, CUL2, SKP1, CUL1, CUL7, CUL5, RNF7, DDB1, CUL4B, CUL4A, TRIM37, TRIM32, MID1, FANCL, BRCA1, MGRN1, AIRE, NHLRC1, SYVN1, PIAS3, PIAS4, PIAS1, PIAS2, BIRC2, BIRC3, XIAP, BIRC7, RCHY1, MAP3K1, TRAF6, PML, SIAH1, PRKN, CBLC, CBL, CBLB, MDM2, UBOX5, PRPF19, UBE3A, UBE2U, UBE2D4, UBE2D1, UBE2D2, UBE2D3, UBE2NL, UBE2N, WWP1, SMURF1, SMURF2, UBE3C, UBE2J1, UBE3B, UBE2S, UBE2C, UBE2A, ITCH, UBE2K, UBE2J2, UBE2L6, UBE2L3, UBE2G2, UBE2G1, UBA6, UBA1, UBA7, PPIL2, HERC2, UBE2R2, CDC34, STUB1, HERC1, WWP2, UBE4B, UBR5, TRIP12, UBE4A, HUWE1, UBE2Z, BIRC6, NEDD4L, NEDD4, UBE2QL1, UBE2Q1, UBE2Q2, UBE2O, UBE2M, UBE2I, UBE2H, UBE2B, ANAPC13, UBE2E3, UBE2E1, UBE2E2"
"137"	"Pathway.KEGG_Sulfur relay system"	"MOCS3, URM1, NFS1, CTU2, CTU1, MPST, TST, MOCS2"
"138"	"Pathway.KEGG_SNARE interactions in vesicular transport"	"BNIP1, USE1, STX18, STX17, BET1, BET1L, YKT6, GOSR1, STX5, SEC22B, GOSR2, SNAP29, STX6, STX16, STX19, STX11, VTI1B, VTI1A, STX8, STX7, VAMP4, VAMP5, SNAP23, STX1B, STX2, STX1A, STX3, STX4, VAMP8, VAMP1, VAMP2, VAMP3, VAMP7"
"139"	"Pathway.KEGG_Autophagy - other"	"RPTOR, MTOR, MLST8, ULK2, ATG13, ATG101, IGBP1, PPP2CA, PPP2CB, BECN2, BECN1, PIK3R4, PIK3C3, ATG9B, ATG9A, ATG2A, ATG2B, WIPI2, WIPI1, ATG3, GABARAP, GABARAPL2, GABARAPL1, ATG4A, ATG4B, ATG4C, ATG4D, ATG16L1, ATG12, ATG10, ATG7, ATG5"
"140"	"Pathway.KEGG_Mitophagy - animal"	"PINK1, MFN1, MFN2, USP30, USP15, AMBRA1, USP8, PRKN, OPTN, TBK1, SQSTM1, CALCOCO2, NBR1, GABARAP, GABARAPL2, GABARAPL1, SRC, ULK1, FUNDC1, CSNK2A1, CSNK2A2, CSNK2B, CSNK2A3, PGAM5, BCL2L1, BNIP3, BNIP3L, RHOT1, RHOT2, BECN2, BECN1, TOMM7, ATG5, ATG9B, ATG9A, TFEB, MITF, TFE3, TAX1BP1, TBC1D15, TBC1D17, RAB7B, RAB7A, FIS1, BCL2L13, EIF2AK3, ATF4, HIF1A, E2F1, RELA, TP53, RRAS2, MRAS, HRAS, KRAS, NRAS, RRAS, SP1, MAPK8, MAPK9, MAPK10, JUN, FOXO3, CITED2, UBB"
"141"	"Pathway.KEGG_Autophagy - animal"	"IGF1R, INS, IRS1, IRS4, IRS2, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PTEN, PDPK1, AKT3, AKT1, AKT2, RRAS2, MRAS, HRAS, KRAS, NRAS, RRAS, RAF1, MAP2K1, MAP2K2, MAPK1, MAPK3, HIF1A, DDIT4, BNIP3, PRKCD, TSC2, TSC1, RHEB, RPTOR, DEPTOR, MTOR, AKT1S1, MLST8, RPS6KB1, RPS6KB2, PPP2CA, PPP2CB, IGBP1, ULK1, ULK2, ATG13, RB1CC1, ATG101, ATG2A, ATG2B, WIPI2, WIPI1, RRAGB, RRAGA, RRAGD, RRAGC, STK11, PRKAA1, PRKAA2, CAMKK2, MAP3K7, ERN1, MAPK8, MAPK9, MAPK10, PRKACA, PRKACB, PRKACG, TP53INP2, TRAF6, AMBRA1, ITPR1, BCL2, BCL2L1, ATG9B, ATG9A, SUPT20H, STX17, BECN2, BECN1, PIK3R4, NRBF2, PIK3C3, ATG14, UVRAG, SH3GLB1, RUBCN, ZFYVE1, MTMR3, MTMR4, MTMR14, BAD, HMGB1, PRAP1, EIF2AK3, EIF2AK4, DAPK1, DAPK3, DAPK2, EIF2S1, ATG12, ATG5, RAB33B, ATG7, ATG10, ATG16L1, ATG16L2, CFLAR, ATG3, PRKCQ, GABARAP, GABARAPL2, GABARAPL1, ATG4A, ATG4B, ATG4C, ATG4D, LAMP1, LAMP2, RAB7B, RAB7A, VAMP8, SNAP29, CTSD, CTSL, CTSB, VMP1, C9orf72, RAB1A, WDR41, SMCR8, RAB39B, RAB8A, SQSTM1, TBK1, TANK"
"142"	"Pathway.KEGG_Protein processing in endoplasmic reticulum"	"ATF4, DDIT3, MAPK8, MAPK9, MAPK10, TRAF2, MAP3K5, MAP2K7, EIF2S1, CANX, CALR, PPP1R15A, PDIA3, CASP12, CAPN1, CAPN2, SEC61B, SEC61G, SEC61A1, SEC61A2, VCP, DAD1, DDOST, STT3B, STT3A, RPN1, RPN2, TUSC3, EDEM2, EDEM3, EDEM1, SEC24B, SEC23B, SEC23A, SEC24A, SEC24C, SEC24D, LMAN2, LMAN1, UFD1, NPLOC4, ERO1A, ERO1B, MAN1A2, MAN1B1, MAN1A1, MAN1C1, GANAB, PRKCSH, MOGS, UGGT2, UGGT1, MARCHF6, SYVN1, UBE2G1, UBE2G2, HSPA5, SEC63, SEC62, BAK1, BAX, ATF6B, ATF6, ERN1, EIF2AK1, EIF2AK4, EIF2AK2, EIF2AK3, MBTPS1, MBTPS2, XBP1, WFS1, RAD23A, RAD23B, UBQLN2, UBQLN1, UBQLN3, UBQLN4, NGLY1, UBE2J2, UBE2J1, UBE4B, YOD1, ATXN3, ATXN3L, PLAA, HSPA1A, HSPA1B, HSPA1L, HSPA2, HSPA6, HSPA8, SEL1L, SEL1L2, DERL2, DERL1, DERL3, OS9, HERPUD1, ERLEC1, SELENOS, RBX1, FBXO2, FBXO6, UBE2D4, UBE2D1, UBE2D2, UBE2D3, DNAJA2, DNAJC5G, DNAJB2, DNAJA1, DNAJB1, DNAJB12, DNAJC5, DNAJC5B, STUB1, PDIA6, ERP29, P4HB, TXNDC5, PDIA4, DNAJB11, DNAJC10, DNAJC3, DNAJC1, NSFL1C, UBXN6, SVIP, SKP1, CUL1, RNF5, RNF185, HSP90AA1, HSP90AB1, NFE2L2, SEC31A, SEC31B, SEC13, SAR1B, SAR1A, PREB, HSP90B1, BCL2, LMAN1L, TRAM1L1, TRAM1, PRKN, HSPH1, HSPA4L, HSPBP1, BAG1, BAG2, CRYAA2, CRYAA, CRYAB, HYOU1, SIL1, CKAP4, RRBP1, BCAP31, SSR1, SSR2, SSR3, SSR4, AMFR"
"143"	"Pathway.KEGG_Lysosome"	"TCIRG1, ATP6V0A2, ATP6V0D2, ATP6V0A4, ATP6V1H, ATP6V0C, ATP6V0B, ATP6V0A1, ATP6AP1, ATP6V0D1, CTSC, CTSB, CTSD, CTSE, CTSG, CTSH, CTSK, CTSL, CTSV, CTSO, CTSS, CTSW, CTSZ, CTSA, CTSF, NAPSA, LGMN, TPP1, GLA, GLB1, GAA, GBA, HEXA, HEXB, MANBA, MAN2B1, NAGA, GUSB, NEU1, GALC, NAGLU, IDUA, FUCA1, ARSG, ARSA, ARSB, GNS, IDS, SGSH, GALNS, LIPA, PLA2G15, DNASE2, DNASE2B, ACP2, SMPD1, ASAH1, AGA, GNPTAB, GNPTG, GM2A, PSAP, PSAPL1, PPT1, PPT2, LAMP3, LAMP1, LAMP2, CD68, SCARB2, CD63, CTNS, SLC17A5, LAPTM4B, LAPTM5, LAPTM4A, ABCB9, ABCA2, SLC11A2, SLC11A1, NPC2, NPC1, CLN3, CLN5, CD164, ENTPD4, SORT1, MFSD8, HGSNAT, CLTA, CLTB, CLTC, CLTCL1, IGF2R, M6PR, NAGPA, AP1M2, AP1S1, AP1S3, AP1B1, AP1G1, AP1S2, AP1G2, AP1M1, AP3S2, AP3M2, AP3S1, AP3M1, AP3B2, AP3B1, AP3D1, GGA2, GGA3, GGA1, ACP5, AP4B1, AP4S1, AP4E1, AP4M1, HYAL1, SUMF1, MCOLN1, LITAF"
"144"	"Pathway.KEGG_Endocytosis"	"STAM2, STAM, HGS, STAMBP, USP8, DNM1, DNM2, DNM3, RNF41, WWP1, NEDD4L, CBLC, MDM2, NEDD4, SMURF1, SMURF2, TRAF6, ITCH, CBL, CBLB, LDLR, CLTA, CLTB, CLTC, CLTCL1, AP2M1, AP2S1, AP2A1, AP2A2, AP2B1, MVB12B, MVB12A, VPS37A, VPS37D, VPS37C, VPS37B, VPS28, HSPA1A, HSPA1B, HSPA1L, HSPA2, HSPA6, HSPA8, DNAJC6, VPS36, TSG101, VPS25, SNF8, CHMP6, RNF103-CHMP3, CHMP3, CHMP4B, CHMP4A, CHMP4C, CHMP1A, CHMP1B, CHMP2B, CHMP2A, PDCD6IP, VPS4A, VPS4B, VTA1, CHMP5, CDC42, PRKCI, PRKCZ, PARD6A, PARD6G, PARD6B, PARD3, ARF6, HRAS, SRC, RAB11A, RAB11B, TFRC, EPN2, EPN1, EPN3, EPS15, EPS15L1, RAB5A, RAB5B, RAB5C, LDLRAP1, DAB2, CCR5, CXCR1, CXCR2, CXCR4, EGFR, FGFR3, FGFR2, FGFR4, IGF1R, PDGFRA, SH3KBP1, SH3GLB1, SH3GLB2, SH3GL1, SH3GL2, SH3GL3, GRK7, GRK2, GRK3, GRK4, GRK5, GRK6, GRK1, ARRB1, ARRB2, RAB11FIP2, RAB11FIP5, RAB11FIP1, PLD1, PLD2, PIP5KL1, PIP5K1C, PIP5K1A, PIP5K1B, EEA1, RABEP1, ARFGEF2, ARFGEF1, IQSEC2, PSD3, PSD4, CYTH4, IQSEC3, PSD, PSD2, GBF1, CYTH3, CYTH2, CYTH1, IQSEC1, LOC107984026, ACAP3, ARAP2, ARAP1, AGAP2, AGAP1, AGAP3, AGAP4, AGAP11, ACAP2, ARFGAP3, GIT1, AGAP6, ASAP1, ASAP3, ARFGAP1, SMAP1, AGAP9, ARAP3, SMAP2, AGAP5, ARFGAP2, ASAP2, ACAP1, GIT2, EHD3, EHD1, RAB4A, EHD4, EHD2, RBSN, RUFY1, VPS45, HLA-A, HLA-B, HLA-C, HLA-E, HLA-F, HLA-G, RAB7A, TGFBR1, TGFBR2, ZFYVE9, ZFYVE16, SMAD2, SMAD3, PML, CAV1, CAV2, CAV3, IL2RA, IL2RB, IL2RG, RHOA, FOLR1, FOLR2, FOLR3, IZUMO1R, CHMP7, ARF1, ARF3, ARF5, ZFYVE27, KIF5A, KIF5B, KIF5C, WASHC1, WASHC2C, WASHC2A, WASHC3, WASHC4, WASHC5, CAPZA1, CAPZA2, CAPZA3, SPART, CAPZB, RAB35, RAB10, SNX4, VPS26B, VPS26A, RAB31, RAB22A, VPS29, VPS35, RAB8A, RAB11FIP4, RAB11FIP3, AMPH, BIN1, SPG21, ARPC5, ARPC4, ARPC3, ARPC1B, ARPC2, ARPC1A, ARPC5L, SNX12, SNX3, SNX1, SNX2, SNX32, SNX5, SNX6, IGF2R, WASL, WIPF2, WIPF3, WIPF1, IST1, UBB"
"145"	"Pathway.KEGG_Phagosome"	"SEC22B, STX18, VAMP3, FCAR, FCGR1A, FCGR2A, FCGR2B, FCGR3A, FCGR3B, FCGR2C, C1R, ITGAM, ITGB2, ITGAV, ITGB3, ITGB1, PLA2R1, MRC1, MRC2, MSR1, ITGB5, ITGA2, ITGA5, ACTB, ACTG1, PIK3C3, EEA1, RAB5A, RAB5B, RAB5C, RAB7B, RAB7A, CYBB, RILP, CYBA, NCF4, NCF1, NCF2, RAC1, DYNC1H1, DYNC1I1, DYNC1I2, DYNC1LI2, DYNC1LI1, DYNC2H1, TUBA1B, TUBA3E, TUBA3D, TUBA8, TUBA4A, TUBA3C, TUBA1A, TUBAL3, TUBA1C, TUBB3, TUBB4A, TUBB4B, TUBB, TUBB8, TUBB2B, TUBB2A, TUBB1, TUBB6, HGS, M6PR, TCIRG1, ATP6V1G3, ATP6V0E2, ATP6V0A2, ATP6V0D2, ATP6V1C2, ATP6V0A4, ATP6V1D, ATP6V1H, ATP6V1A, ATP6V1B1, ATP6V1B2, ATP6V0C, ATP6V1C1, ATP6V1E1, ATP6V0B, ATP6V1G2, ATP6V0A1, ATP6AP1, ATP6V0E1, ATP6V1E2, ATP6V0D1, ATP6V1F, ATP6V1G1, LAMP1, LAMP2, MPO, PIKFYVE, STX12, STX7, CD36, MARCO, OLR1, CD14, TLR2, TLR6, TLR4, NOS1, SCARB1, LOC102723407, C3, COMP, THBS1, THBS2, THBS3, THBS4, MBL2, SFTPD, SFTPA1, SFTPA2, COLEC11, COLEC12, SEC61B, SEC61G, SEC61A1, SEC61A2, CALR, CANX, HLA-DMA, HLA-DMB, HLA-DOA, HLA-DOB, HLA-DPA1, HLA-DPB1, HLA-DQA1, HLA-DQA2, HLA-DQB1, HLA-DRA, HLA-DRB1, HLA-DRB3, HLA-DRB4, HLA-DRB5, CLEC4M, CD209, CLEC7A, TAP1, TAP2, CTSL, CTSS, HLA-A, HLA-B, HLA-C, HLA-E, HLA-F, HLA-G, TFRC, CORO1A"
"146"	"Pathway.KEGG_Peroxisome"	"PEX14, PEX2, PEX1, PEX6, PEX26, PEX13, PEX10, PEX12, PEX5L, PEX5, PEX7, PEX19, PEX11B, PEX11A, PEX11G, PEX16, PEX3, ABCD3, GNPAT, AGPS, PHYH, ACAA1, ACOX1, ACOX2, ACOX3, HSD17B4, CAT, SCP2, PIPOX, AGXT, AMACR, MVK, ECH1, PAOX, PMVK, CROT, BAAT, HMGCL, HMGCLL1, CRAT, DAO, DDO, DHRS4, DHRS4L1, MLYCD, HACL1, EHHADH, PECR, ECI2, NUDT12, ACOT8, NUDT19, DECR2, ABCD1, ABCD2, ABCD4, ACSL1, ACSL3, ACSL4, ACSL6, ACSL5, SLC27A2, IDH1, IDH2, HAO2, HAO1, XDH, FAR2, FAR1, PRDX5, SOD1, SOD2, GSTK1, EPHX2, NOS2, PRDX1, PXMP2, MPV17L, MPV17, MPV17L2, PXMP4, SLC25A17, NUDT7"
"147"	"Pathway.KEGG_mTOR signaling pathway"	"IGF1R, INSR, IRS1, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, RAF1, BRAF, MAPK1, MAPK3, HRAS, KRAS, NRAS, MAP2K1, MAP2K2, PTEN, PDPK1, AKT3, AKT1, AKT2, TSC1, TSC2, RHEB, EIF4EBP1, LPIN1, RPS6KB1, RPS6KB2, RHOA, PRKCA, PRKCB, PRKCG, SGK1, TBC1D7-LOC100130357, TBC1D7, RRAGB, RRAGA, RRAGD, RRAGC, RPS6KA6, RPS6KA1, RPS6KA2, RPS6KA3, PRKAA1, PRKAA2, GRB2, DDIT4, EIF4E, EIF4E1B, EIF4E2, ULK1, ULK2, RPS6, TNF, IKBKB, TNFRSF1A, SLC7A5, SLC3A2, SOS1, SOS2, NPRL2, NPRL3, DEPDC5, RNF152, SKP2, MIOS, SEC13, WDR59, SEH1L, WDR24, SESN2, ATP6V1G3, ATP6V1C2, ATP6V1D, ATP6V1H, ATP6V1A, ATP6V1B1, ATP6V1B2, ATP6V1C1, ATP6V1E1, ATP6V1G2, ATP6V1E2, ATP6V1F, ATP6V1G1, SLC38A9, LAMTOR5, LAMTOR2, LAMTOR4, LAMTOR1, LAMTOR3, CHUK, IGF1, INS, GRB10, FLCN, FNIP2, FNIP1, EIF4B, MTOR, DEPTOR, MLST8, RPTOR, AKT1S1, TTI1, TELO2, PRR5, RICTOR, MAPKAP1, GSK3B, WNT16, WNT4, WNT1, WNT2, WNT3, WNT5A, WNT6, WNT7A, WNT7B, WNT8A, WNT8B, WNT10B, WNT11, WNT2B, WNT9A, WNT9B, WNT10A, WNT5B, WNT3A, FZD10, FZD2, FZD5, FZD3, FZD1, FZD4, FZD6, FZD7, FZD8, FZD9, LRP6, LRP5, DVL1, DVL2, DVL3, CLIP1, STK11, STRADB, STRADA, CAB39, CAB39L, CASTOR2, CASTOR1"
"148"	"Pathway.KEGG_PI3K-Akt signaling pathway"	"EIF4E, EIF4E1B, EIF4E2, EIF4EBP1, RPS6, EIF4B, RPS6KB1, RPS6KB2, RPTOR, MTOR, MLST8, RHEB, TSC2, TSC1, AKT3, AKT1, AKT2, PDPK1, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PTEN, IRS1, CSF1R, EGFR, EPHA2, ERBB2, ERBB3, ERBB4, FGFR1, FGFR3, FGFR2, FGFR4, FLT1, FLT3, FLT4, IGF1R, INSR, KDR, KIT, MET, NGFR, NTRK1, NTRK2, PDGFRA, PDGFRB, TEK, LPAR6, CHRM1, CHRM2, LPAR1, F2R, LPAR3, LPAR4, LPAR5, LPAR2, GSK3B, MYC, CDKN1B, RBL2, FASLG, BCL2L11, FOXO3, BAD, MDM2, BCL2L1, TP53, GYS1, GYS2, CCND1, PCK1, PCK2, G6PC, G6PC2, G6PC3, CHUK, IKBKB, IKBKG, NFKB1, RELA, YWHAQ, YWHAB, YWHAE, YWHAG, YWHAH, YWHAZ, CSF1, EFNA1, EFNA2, EFNA3, EFNA4, EFNA5, EGF, EREG, FGF1, FGF2, FGF3, FGF4, FGF5, FGF6, FGF7, FGF8, FGF9, FGF10, VEGFD, FLT3LG, FGF20, FGF21, FGF22, ANGPT1, ANGPT2, HGF, IGF1, IGF2, INS, AREG, KITLG, NGF, NTF3, NTF4, ANGPT4, PDGFA, PDGFB, PGF, PDGFC, BDNF, TGFA, VEGFA, VEGFB, VEGFC, PDGFD, FGF23, FGF18, FGF17, FGF16, FGF19, GRB2, SOS1, SOS2, HRAS, KRAS, NRAS, THEM4, PPP2R3B, PPP2R3C, PPP2CA, PPP2CB, PPP2R1A, PPP2R1B, PPP2R2A, PPP2R2B, PPP2R2C, PPP2R3A, PPP2R5A, PPP2R5B, PPP2R5C, PPP2R5D, PPP2R5E, PPP2R2D, HSP90AA1, HSP90AB1, HSP90B1, CDC37, NOS3, PRKAA1, PRKAA2, DDIT4, STK11, CRTC2, PHLPP2, PHLPP1, CDKN1A, CDK2, CDK4, CDK6, CASP9, PIK3R6, PIK3R5, PIK3CG, RAF1, MAP2K1, MAP2K2, MAPK1, MAPK3, LOC102723407, CD19, SYK, GNB5, GNB1, GNB2, GNB3, GNG3, GNG4, GNG5, GNG7, GNG10, GNG11, GNGT1, GNGT2, GNG13, GNG2, GNG12, GNB4, GNG8, ITGA11, ITGA6, ITGA1, ITGA2, ITGA2B, ITGA3, ITGA4, ITGA5, ITGA7, ITGA9, ITGAV, ITGA10, ITGA8, ITGB1, ITGB3, ITGB4, ITGB5, ITGB6, ITGB7, ITGB8, LAMC3, CHAD, COL1A1, COL1A2, COL2A1, COL4A1, COL4A2, COL4A3, COL4A4, COL4A5, COL4A6, COL6A1, COL6A2, COL6A3, COL9A1, COL9A2, COL9A3, COMP, COL6A6, LAMB4, FN1, COL6A5, LAMA1, TNC, IBSP, LAMA2, LAMA3, LAMA4, LAMA5, LAMB1, LAMB2, LAMB3, LAMC1, LAMC2, RELN, TNN, SPP1, THBS1, THBS2, THBS3, THBS4, TNR, TNXB, VTN, VWF, PTK2, TLR2, TLR4, RAC1, CSF3R, EPOR, GHR, IFNAR1, IFNAR2, IL2RA, IL2RB, IL2RG, IL3RA, IL4R, IL6R, IL7R, PRLR, OSMR, JAK1, JAK2, JAK3, CSF3, CSH1, CSH2, EPO, GH1, GH2, IFNA1, IFNA2, IFNA4, IFNA5, IFNA6, IFNA7, IFNA8, IFNA10, IFNA13, IFNA14, IFNA16, IFNA17, IFNA21, IFNB1, IL2, IL3, IL4, IL6, IL7, OSM, PRL, BRCA1, CREB3, CREB1, ATF2, ATF6B, CREB3L4, ATF4, CREB3L2, CREB3L3, CREB3L1, CREB5, BCL2, MCL1, MYB, PRKCA, PKN3, PKN1, PKN2, C8orf44-SGK3, SGK2, SGK3, SGK1, PIK3AP1, CCND2, CCND3, CCNE1, CCNE2, MTCP1, TCL1A, TCL1B, NR4A1, RXRA, MAGI1, MAGI2"
"149"	"Pathway.KEGG_AMPK signaling pathway"	"PRKAG2, PRKAG3, PRKAA1, PRKAA2, PRKAB1, PRKAB2, PRKAG1, INS, INSR, AKT3, AKT1, AKT2, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PDPK1, IRS1, IRS4, IRS2, IGF1, IGF1R, FOXO1, FOXO3, SLC2A4, STK11, SIRT1, PPARGC1A, ADIPOR1, ADIPOR2, CAMKK2, ACACA, CPT1C, CPT1A, CPT1B, PFKFB1, PFKFB2, PFKFB3, PFKFB4, PFKL, PFKM, PFKP, FBP1, FBP2, TSC2, MTOR, RPTOR, AKT1S1, ADIPOQ, GYS1, GYS2, HNF4A, PCK1, PCK2, G6PC, G6PC2, G6PC3, SREBF1, FASN, SCD, SCD5, EEF2K, EEF2, RPS6KB1, RPS6KB2, EIF4EBP1, PPARG, ACACB, CRTC2, TBC1D1, STRADB, STRADA, CAB39, CAB39L, PPP2R3B, PPP2R3C, PPP2CA, PPP2CB, PPP2R1A, PPP2R1B, PPP2R2A, PPP2R2B, PPP2R2C, PPP2R3A, PPP2R5A, PPP2R5B, PPP2R5C, PPP2R5D, PPP2R5E, PPP2R2D, ELAVL1, CCND1, CCNA2, CCNA1, LIPE, HMGCR, ADRA1A, LEPR, LEP, CD36, CFTR, RAB10, RAB8A, RAB14, RAB2A, RAB11B, RHEB, TSC1, MLYCD, MAP3K7, CREB3, CREB1, CREB3L4, CREB3L2, CREB3L3, CREB3L1, CREB5, ULK1"
"150"	"Pathway.KEGG_Apoptosis"	"BCL2L1, DFFA, ATM, TP53, ENDOG, AIFM1, BCL2, BIRC2, BIRC3, XIAP, BIRC5, DFFB, CASP9, CASP7, CASP3, BAD, NFKB1, RELA, CASP6, NFKBIA, APAF1, CYCS, BID, CASP8, CASP10, CAPN1, CAPN2, AKT3, AKT1, AKT2, MAP3K14, CHUK, IKBKB, IKBKG, CFLAR, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, TRAF2, RIPK1, TRADD, FADD, CSF2RB, IL3RA, NTRK1, TNFRSF1A, TNFRSF10B, TNFRSF10A, FAS, IL3, NGF, TNF, TNFSF10, FASLG, SPTA1, SPTAN1, LMNA, LMNB1, LMNB2, PARP2, PARP3, PARP1, PARP4, DIABLO, SEPTIN4, HTRA2, BAX, BAK1, PMAIP1, BBC3, TP53AIP1, ERN1, CASP12, PTPN13, GADD45G, GADD45A, GADD45B, BCL2A1, TRAF1, DAXX, MAP3K5, MAPK8, MAPK9, MAPK10, DAB2IP, JUN, FOS, BCL2L11, CTSC, CTSB, CTSD, CTSH, CTSK, CTSL, CTSV, CTSO, CTSS, CTSW, CTSZ, CTSF, DDIT3, EIF2AK3, EIF2S1, ATF4, ITPR1, ITPR2, ITPR3, PDPK1, CASP2, PIDD1, GZMB, PRF1, ACTB, ACTG1, TUBA1B, TUBA3E, TUBA3D, TUBA8, TUBA4A, TUBA3C, TUBA1A, TUBAL3, TUBA1C, MCL1, HRK, HRAS, KRAS, NRAS, RAF1, MAP2K1, MAP2K2, MAPK1, MAPK3"
"151"	"Pathway.KEGG_Longevity regulating pathway"	"FOXO1, FOXO3, RPS6KB1, RPS6KB2, MTOR, RPTOR, AKT1S1, AKT3, AKT1, AKT2, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, IGF1, IGF1R, IRS1, IRS4, IRS2, HRAS, KRAS, NRAS, PRKACA, PRKACB, PRKACG, ADCY1, ADCY2, ADCY3, ADCY5, ADCY6, ADCY7, ADCY8, ADCY9, ADCY4, PRKAG2, PRKAG3, PRKAA1, PRKAA2, PRKAB1, PRKAB2, PRKAG1, INS, INSR, CREB3, CREB1, ATF2, ATF6B, CREB3L4, ATF4, CREB3L2, CREB3L3, CREB3L1, CREB5, SOD2, TSC2, TSC1, RHEB, EIF4EBP1, EIF4E, EIF4E1B, EIF4E2, STK11, TP53, SESN3, SESN1, SESN2, ADIPOQ, ADIPOR1, ADIPOR2, BAX, SIRT1, PPARGC1A, ULK1, KL, CAMKK2, CAMK4, NFKB1, RELA, PPARG, CAT, ATG5, APPL1, RB1CC1, ATG13, ATG101, EHMT2, EHMT1"
"152"	"Pathway.KEGG_Longevity regulating pathway - multiple species"	"FOXO1, FOXO3, RPS6KB1, RPS6KB2, MTOR, RPTOR, AKT1S1, AKT3, AKT1, AKT2, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, IGF1, IGF1R, IRS1, IRS4, IRS2, HRAS, KRAS, NRAS, INS, INSR, PRKACA, PRKACB, PRKACG, EIF4EBP2, FOXA2, ADCY1, ADCY2, ADCY3, ADCY5, ADCY6, ADCY7, ADCY8, ADCY9, ADCY4, PRKAG2, PRKAG3, PRKAA1, PRKAA2, PRKAB1, PRKAB2, PRKAG1, SOD2, SOD1, CRYAB, HSPA1A, HSPA1B, HSPA1L, HSPA2, HSPA6, HSPA8, CLPB, CAT, ATG5, SIRT1, HDAC1, HDAC2"
"153"	"Pathway.KEGG_Apoptosis - multiple species"	"BIRC7, CASP7, APAF1, BOK, CYCS, CASP9, CASP3, BIRC2, BIRC3, XIAP, BIRC5, DIABLO, HTRA2, SEPTIN4, BAX, BAK1, BCL2, BCL2L1, BIRC6, BECN2, BECN1, FADD, CASP8, TNFRSF1A, MAPK8, MAPK9, MAPK10, NGFR, BCL2L11, BBC3, PMAIP1, BID"
"154"	"Pathway.KEGG_Ferroptosis"	"SLC7A11, TP53, GPX4, VDAC2, VDAC3, GCLC, GCLM, SLC3A2, TFRC, TF, CP, STEAP3, GSS, PCBP1, PCBP2, SLC40A1, FTH1, FTL, ATG7, ATG5, SLC39A14, SLC39A8, SLC11A2, MAP1LC3C, MAP1LC3B, MAP1LC3A, NCOA4, SAT2, SAT1, PRNP, HMOX1, CYBB, ACSL1, ACSL3, ACSL4, ACSL6, ACSL5, LPCAT3, ALOX15, FTMT"
